Gene_Name,Control 1,Control 2,Experimental 1,Experimental 2,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10,Exp11,Exp12,Exp13,Exp14,Exp15,Exp16,Exp17,Exp18,Exp19,Exp20
7472,4651,4881,3696,4808,240,3514,794,1432,4803,3059,1317,4116,4967,2535,2557,1827,2884,4964,889,1448,245,361
7473,1318,2589,4684,1354,529,2321,2288,1243,920,4483,4343,3173,2780,87,86,652,4577,4712,1628,1304,1292,4250
7474,1287,2060,2708,1033,848,1052,2870,2789,612,965,2176,4101,480,3753,4705,4712,2972,4657,2204,61,3287,1657
7475,2749,2145,1374,4825,3134,1800,4341,4679,4962,253,436,2913,819,4100,3613,8,1479,3435,3749,2816,4034,2875
7476,1154,4690,792,3402,1846,2586,3665,490,174,916,3879,3103,4155,4354,357,1039,1106,683,494,3635,2122,4579
7477,251,1002,2167,3945,4559,1619,1919,4065,1483,4101,1681,4880,1375,4849,2416,1290,1145,1441,1491,2641,766,1760
7478,3486,4249,397,159,2091,3126,2313,4396,4194,2204,1113,2910,836,39,1903,70,1482,2994,3681,1109,1025,4719
7479,2603,1708,2911,1407,1855,2376,212,2329,4578,2524,2251,56,2020,4700,4931,3093,3986,3692,738,1052,4442,4629
7480,59,744,4400,4038,3401,3336,84,4883,521,4183,4317,1626,3994,2444,3115,2096,2906,1428,2516,412,2282,1371
7481,3222,692,1252,490,385,3585,4026,4190,2586,4679,83,305,265,3732,1484,1082,2044,2954,4395,2625,3259,2532
7482,13,1739,4127,1682,4382,311,781,693,4361,2115,4828,4598,702,456,1851,4186,4291,1445,1119,2216,1766,2309
7483,4045,1360,3772,2630,1272,1536,1288,3036,4796,590,3978,1350,2525,2830,1648,3451,1577,1644,39,4597,1215,68
7484,2357,3650,2067,3643,4239,4595,3535,874,4484,208,2717,3510,1471,1935,2510,2555,1647,2819,2216,1721,390,4905
7485,3192,4694,3697,4890,4668,2866,254,3219,1878,1850,4651,2507,22,1985,4580,3886,4089,4495,3020,4362,2916,4297
7486,925,4098,2558,4223,151,346,2985,4511,4609,1221,4800,2351,2953,3001,3930,2706,4308,453,2220,2346,3486,1924
7487,4291,4948,1280,3973,2535,2344,3751,2589,2465,1484,1895,1269,2578,4319,431,4937,2757,1556,1262,4691,4616,3033
7488,3614,3379,2033,184,1980,2400,3434,567,3325,48,2770,2045,2546,337,826,4681,827,661,1411,4443,3804,1144
7489,3342,1935,1021,4365,634,3143,2819,3920,4146,4325,2986,3778,3042,480,314,2267,3339,1403,3244,2339,4265,2999
7490,4679,2866,1820,1760,98,2669,2439,3521,3390,1538,32,3031,986,3541,1044,405,4715,3530,3402,2753,910,1566
7491,1285,3536,291,2151,4568,4283,1327,3762,273,405,1983,3151,1265,2035,2666,1759,2923,428,2816,2299,1587,4319
7492,3798,4940,4856,4854,1952,3907,336,1396,1808,1252,3447,4948,4954,1245,813,822,1088,1144,4247,1192,3342,4172
7493,3184,1760,4712,3345,533,3270,3535,4376,931,4521,3356,4370,1252,4108,2122,3524,2360,1885,3201,1296,3003,3283
7494,469,665,770,2091,780,4637,2406,4000,4880,3199,3387,1704,2556,2144,2407,4365,2738,1092,4443,411,4567,3186
7495,2332,1745,2264,617,1198,1589,3193,2160,4305,1907,3886,3621,1686,2349,629,534,3542,1656,2813,4856,3611,3418
7496,147,3391,2725,1503,341,2172,2047,3644,3850,3377,1706,3428,4661,1213,4142,1343,2788,415,3914,2004,217,2471
7497,311,3303,3563,1923,1840,3180,4447,4067,426,1161,686,4711,2828,4131,825,1741,2674,4864,3137,442,592,751
7498,1418,35,4364,1146,1839,4429,948,3174,4688,1545,4593,780,2219,3935,2435,308,3032,1156,1681,3224,228,781
7499,1882,435,180,4981,1914,4012,1201,3903,2376,4825,2850,1283,2323,4038,3274,1539,3625,2885,1538,3005,4119,495
7500,2127,2721,4491,4497,4646,3648,3050,1596,4956,22,1871,1014,3177,2091,2903,1181,503,3493,4818,260,3800,3945
7501,3361,367,4981,3500,3031,2410,4262,1612,2499,770,3312,579,2711,766,4776,1877,3829,2484,3432,4318,598,4762
7502,3332,930,432,4505,4175,1312,4878,444,2576,124,593,2264,4803,1690,1779,642,3706,4196,2521,3679,1744,552
7503,1616,2843,1301,2463,4061,3401,2273,1854,1332,762,3347,4264,4331,3990,2878,169,3901,4413,3275,3021,3229,1798
7504,947,4527,425,1930,2073,3194,602,2955,319,3197,2331,1743,4311,2818,1724,866,1751,297,4935,2047,1933,526
7505,2266,3001,2148,2417,3061,885,4120,3948,733,4519,2438,873,471,4997,3352,3709,1302,3038,4016,4005,4786,3608
7506,2617,1976,3055,3102,1673,2955,4839,1236,4487,1715,2226,4795,711,3418,902,4850,673,4669,2615,3217,4485,522
7507,945,2342,4939,4327,3558,4523,4735,1574,2071,700,4986,1950,683,3012,4552,1638,409,983,4112,1139,4651,2339
7508,3193,4597,3800,244,770,943,1691,2217,1536,2488,3691,3602,1121,37,3680,1657,3716,3795,4816,205,2518,662
7509,1148,1630,3201,3200,4064,4656,3508,4672,1678,4307,3561,2020,4934,3528,2317,351,4152,752,889,229,2184,2993
7510,4556,1264,590,3308,1878,4352,3539,2410,3379,1025,3810,3428,4539,4931,1630,2379,4350,354,2886,393,2550,2649
7511,1296,4109,4062,393,891,1935,2960,1518,382,765,950,4694,1496,4421,2806,1090,4732,3288,1228,4659,3673,1712
7512,2157,3866,2676,426,3533,3448,2573,4407,100,616,1767,2206,1036,276,4807,3476,1764,325,3030,912,3411,4620
7513,3435,4505,2106,2849,4445,4032,3180,3056,3028,1413,1341,2020,1330,399,4759,151,2654,2996,3637,1384,1786,2840
7514,472,1307,616,253,1122,3065,2807,2089,1423,2375,715,843,3542,2003,4960,4816,2503,2250,3368,4843,3259,1693
7515,948,759,4247,1998,3815,2573,4713,3514,4886,1660,4828,2482,2383,2435,2338,1490,3249,2824,3280,2051,4652,1315
7516,4809,2166,2377,1434,244,4578,2646,897,4382,3064,2417,3776,2094,3287,1206,3157,4047,4182,1163,2436,1496,4776
7517,1498,4943,1337,2776,3943,1388,3115,308,1517,746,3962,862,987,2630,1697,4494,206,4242,327,4281,3511,3645
7518,1705,1196,2545,3907,948,281,4117,1483,3632,3479,4159,1545,2361,3357,958,3903,4985,4834,4923,1594,4168,888
7519,1114,3949,1799,4143,2009,4608,1068,2546,4356,1298,1944,3740,1667,1696,2763,2509,3838,2379,828,1131,4320,3513
7520,3177,1919,1136,456,1890,3875,1153,4682,1234,4046,3111,4068,3325,49,173,1038,113,7,892,781,4073,2048
7521,3190,1517,2987,524,2887,2201,377,2595,634,2932,1918,389,4762,3004,528,681,3995,4464,3992,2701,2881,3118
7522,1653,2274,3805,1436,3863,4757,3087,1594,488,307,549,3625,684,741,3941,577,4366,1761,1530,1764,2616,3416
7523,4523,1182,256,2966,981,1269,3669,823,1074,1815,3971,3028,1136,4142,1343,475,986,3091,2797,1292,956,1660
7524,1666,2405,3152,2963,4461,4663,2243,2395,3806,3799,3265,1020,4161,123,4578,1227,1633,2663,651,1387,4672,3518
7525,2862,1879,3439,3129,1630,706,1227,1011,3752,3219,2030,1323,2588,2451,3127,173,4013,3286,3357,2927,4370,867
7526,4929,1602,3649,4408,3308,4061,4450,528,1107,60,3002,1535,455,4021,3130,2080,4942,1805,3605,2179,1309,4833
7527,3754,2917,4384,4230,112,2677,3881,128,2382,2681,2198,4232,504,1760,3382,1112,1664,4171,804,4256,1865,2086
7528,4132,1751,751,2751,1867,2827,2205,3805,3239,4473,443,182,4780,1667,3564,3721,3225,4647,923,631,2603,1943
7529,3162,3965,161,4872,3269,3258,4974,848,524,2469,4880,664,3696,1360,2411,3454,4020,4551,3484,4467,4364,2685
7530,1981,4196,4640,297,3190,4926,1280,3101,2948,3137,4691,356,1375,2503,1647,1001,1878,1990,1583,2067,1419,4698
7531,2941,4364,3346,2709,4505,850,3633,1626,2816,2260,2656,330,2286,4132,2916,1573,1557,457,3073,2010,3274,2127
7532,3643,511,3454,3160,3520,4325,2262,4278,510,2239,4475,3280,4762,3210,280,49,453,4200,773,2029,1040,4800
7533,4921,2479,830,1900,454,3498,516,729,1894,3433,1714,1349,4366,3473,996,2625,633,4436,4252,4592,679,173
7534,4792,2825,72,569,2579,3273,1828,1891,3369,2389,4167,95,2208,3720,631,1975,923,917,1589,2993,1594,176
7535,4541,1934,205,3360,1330,4890,4330,4942,3666,3966,91,4541,1485,3678,240,4203,3016,3076,2623,1928,2846,3527
7536,3810,1056,2582,685,2907,4027,2389,3804,3610,3103,4061,3983,2429,1005,3015,1614,2967,2449,2136,2327,4724,1664
7537,2102,223,931,1578,393,678,2585,3754,19,2218,4697,952,3718,4535,4685,3025,4090,4460,4695,4032,4958,1582
7538,4942,831,3603,4144,1742,3360,2645,4124,1459,2288,1687,886,4990,3697,1882,377,3860,1669,592,4125,2024,1761
7539,4249,1737,506,221,1455,4552,4932,3991,3761,955,3679,4510,1981,4675,4392,3758,2202,1929,2864,4350,637,1505
7540,4229,1935,2448,3119,2258,359,1783,98,3257,969,3913,4271,1968,4207,858,2254,1537,609,2751,4363,571,1949
7541,2821,4492,4581,2228,3766,4669,2977,3526,3866,2266,4504,2365,4900,4742,3874,1158,4592,3287,4594,1130,3237,3181
7542,1452,4988,1873,208,2383,4228,4760,1092,4996,974,4777,2590,1387,1443,1966,4794,4644,4565,2176,2814,3517,4453
7543,1183,4181,130,4699,827,3748,4001,4128,4114,4551,1558,1263,2355,1458,3801,611,403,1196,3078,1586,951,1574
7544,2166,2638,2665,1695,1399,2251,2779,1934,1028,1898,4978,3806,580,2934,4870,4514,2582,1536,936,4073,3332,4534
7545,803,2088,1870,1587,418,2476,2087,1738,291,3282,3836,526,1989,1658,3310,2728,2509,1806,848,3452,467,154
7546,2314,4255,2900,1642,2334,74,1786,4649,1241,4890,4126,1590,4586,1556,761,1108,3541,4801,4544,4657,865,299
7547,240,268,4416,3091,2025,3974,3663,3662,4740,1647,2552,2101,3529,3015,384,4219,4763,839,1511,3236,4437,1379
7548,4854,518,4908,1336,3536,2215,3182,4588,4556,1228,543,3932,3353,4508,2093,2903,1894,2659,3384,2768,3460,1953
7549,4283,2852,4457,4688,4014,4191,2712,3710,4922,1872,4909,2767,621,3444,630,983,1729,3175,2720,1352,4325,1941
7550,3949,4831,4971,4209,4538,1652,4481,59,106,3855,2061,273,3685,2626,1365,3857,3745,4941,1085,4089,4909,459
7551,1626,1158,1770,3142,3731,1193,71,1652,4160,4645,2678,771,1423,4425,1730,2875,3022,935,665,3733,1769,3024
7552,1838,4469,3634,3493,1753,986,3632,4025,2617,3815,2574,640,3500,3088,43,1195,1245,451,4095,2188,1802,2669
7553,3225,2658,4084,1223,3886,2604,1617,4466,1954,2969,282,2178,4589,1042,2502,4832,4806,3174,2323,3107,256,4996
7554,1157,4740,1499,4760,973,2310,4324,1863,2754,4716,4803,4196,1260,270,4423,3582,300,2622,1770,1038,1677,1031
7555,4603,84,3631,1712,3951,2130,543,530,388,4480,2795,130,2383,3750,3203,1849,3762,2405,4106,696,246,4163
7556,298,1711,4678,805,1610,452,455,4507,2472,4552,472,672,3781,834,4418,2006,50,1740,4082,3798,538,4665
7557,1593,3180,606,2398,1130,1138,1540,3442,1480,2801,1062,4145,3095,3379,3363,4508,3480,1901,2081,1324,1297,2133
7558,3021,3855,404,1618,3607,2936,788,4695,1856,3669,2599,4846,4069,1780,1593,3229,245,1204,1939,2445,1834,173
7559,3163,2153,2779,4938,2224,1687,4960,2342,1732,4665,1664,1707,2179,176,2493,156,4871,4940,1500,2073,2946,4419
7560,4714,3078,3312,738,690,3284,984,1718,86,1461,4053,3188,28,2715,253,648,3303,3415,2751,2350,3351,3170
7561,2544,4154,883,2570,2310,3351,4288,4961,2013,2281,2963,241,4060,1366,1621,932,1833,3903,11,791,1312,4369
7562,1549,2306,1098,1085,2652,85,3447,1856,1145,1344,718,1006,3760,1200,3803,2679,3292,198,2804,2839,2316,2425
7563,1701,3040,980,2993,3899,3141,178,1146,4576,1306,1510,1157,2289,1217,1744,1503,1391,4528,1967,1521,4678,4660
7564,2678,4251,448,2988,2692,2756,3150,3717,1825,1166,2400,546,1932,3907,2770,74,1369,703,1703,2284,1709,3561
7565,2268,907,1602,3612,558,3233,1821,98,1348,4886,2190,505,1874,2898,3304,668,1178,1720,3841,1359,4512,2120
7566,4945,1026,3495,2986,4612,3870,4115,1536,2456,2449,2316,3002,1612,2324,4686,2747,1075,2978,3537,1138,599,233
7567,574,1416,594,2171,1787,1383,1066,2308,152,2990,1598,202,1357,4030,2044,4733,685,4117,2472,4621,1461,1243
7568,2571,4195,1581,4253,4884,976,4702,557,1941,4869,229,2989,1005,2254,3605,1879,4642,2744,2476,365,4925,3398
7569,989,1548,2786,3564,545,3475,3683,4553,3583,14,465,4409,1141,1241,829,3247,1699,3243,745,2031,3308,3877
7570,1067,2794,1973,4973,3296,2657,4491,1891,3610,2119,1281,2989,2707,3802,1299,2026,2175,2723,2233,26,1380,2886
7571,4866,4502,1977,4976,3962,2538,4059,2082,643,3551,4091,4130,2185,3040,2167,3701,4649,2801,1314,489,3519,4329
7572,2891,844,3537,3094,2549,2262,1524,2000,3575,1678,4208,63,3965,2585,4766,1298,4766,4890,4350,1747,4940,704
7573,4502,3731,773,45,3972,3336,4589,2337,1507,3572,4194,1741,2046,1727,4895,3915,4499,4173,194,1904,2901,2207
7574,4069,3862,1728,1880,3923,1695,4028,3387,2856,3249,4102,924,1870,3742,4447,4235,3159,4313,4074,1053,3873,1666
7575,4012,1455,3541,2195,3975,3180,3467,3228,4837,1,4239,1501,4841,3175,1571,595,3050,3051,3518,1789,4835,3351
7576,3319,1328,959,1888,2812,2191,4466,4001,1577,3405,4735,157,2177,2476,4223,4116,2514,278,2561,4012,4973,3283
7577,4015,1746,2865,2896,3224,106,1718,545,19,4295,1023,2113,882,2010,688,3268,5,905,2398,416,639,3398
7578,1162,3052,3032,1019,4029,2432,4248,3182,4944,4269,585,4770,2968,1539,798,3891,1835,324,52,3549,3961,3058
7579,2367,1296,2880,1846,1573,1547,4619,3090,3725,3983,4834,3656,4185,4569,4279,4794,759,4733,668,3857,595,4088
7580,2396,2507,3098,4896,4095,3580,3683,1416,2677,3472,3863,315,2137,1354,3252,123,23,978,2255,2270,4161,4680
7581,2035,4315,4716,3678,4235,3006,749,570,747,1619,369,1814,1999,1470,393,4564,956,3724,1011,1183,2382,2507
7582,4823,4875,354,4506,1704,1587,3100,2355,4519,4557,3045,2151,1785,1194,4640,2427,119,3956,3031,3081,580,2148
7583,4737,1323,75,2346,2004,661,1835,2080,897,3066,4340,4221,4469,4859,3476,814,4369,3202,465,1445,4382,4864
7584,4150,1896,3237,313,4265,2657,875,898,1008,1110,1654,1771,237,1482,1709,1521,3320,2627,942,259,442,4007
7585,1912,1661,3910,556,4079,1676,4165,3408,4143,1325,309,4350,1415,3456,4029,3471,4008,4689,369,656,695,19
7586,1393,4122,1397,2055,2822,2268,460,1978,685,3917,4651,4886,1703,1881,2881,1677,3455,4944,4270,106,4161,3246
7587,4869,3743,4678,2818,757,2992,1018,607,222,4510,4480,2823,1457,2493,2204,209,167,401,2640,870,1546,677
7588,800,568,1887,1384,1268,3978,4176,718,4527,1158,682,2442,629,40,350,3,3352,801,4369,1621,4340,2684
7589,4755,4856,2425,3996,451,2791,3052,3968,2315,1479,4604,4645,2423,387,4474,3195,4593,2171,3360,512,4261,4331
7590,3552,2727,4429,3753,3601,3729,3675,3775,1012,3921,3658,1321,2351,3037,4661,2973,1140,572,2399,2496,4880,4369
7591,2713,2596,3572,2282,552,1291,3843,129,3011,786,441,4912,800,3962,2631,1426,3678,4922,1864,917,1194,3284
7592,4220,2160,699,95,3423,1791,2150,2607,445,2720,910,3619,3191,415,3380,3640,3300,2583,630,4668,2399,1769
7593,1618,2648,134,1743,2519,2206,1974,4006,4222,1390,2010,3472,2701,1359,2014,4506,3580,1357,1360,2931,4593,313
7594,639,1823,4216,581,1766,817,918,3646,3003,3849,884,4527,4531,2370,1588,4631,1373,8,39,3605,971,3866
7595,2508,4964,2572,562,4858,4773,3133,4742,2379,2462,2889,1822,1973,51,1347,2300,4985,4436,1546,3532,2528,4137
7596,3057,922,3123,1142,901,3294,1914,4941,1788,3313,3782,946,1328,3198,2717,3107,3232,1332,2216,4831,1398,4167
7597,154,3572,3675,4719,2263,4614,2241,4174,222,942,2358,2321,1516,286,515,4645,4019,862,3397,470,447,1451
7598,524,3583,110,1253,2003,263,3526,4309,3083,4509,7,1206,2576,3554,3630,1248,3000,1030,4457,4319,2252,1110
7599,2482,911,1702,4441,355,3988,1696,1626,4375,1061,153,1028,3933,3474,2768,535,4002,359,3429,3036,2122,4617
7600,4426,3186,888,2194,4989,2905,2712,1623,3077,4950,84,4375,1579,894,683,4406,1286,1406,479,2390,1411,3185
7601,3689,2431,792,3747,1413,4018,2006,1119,1409,1479,3595,530,4492,2829,3212,2690,1295,1656,3327,228,1123,502
7602,4743,944,3770,3414,1300,3594,930,4641,3901,536,4632,2598,684,449,49,3583,4012,4304,1764,3199,2818,1205
7603,3427,2929,2035,2273,1482,3271,3331,2921,3795,1154,4849,2567,327,2018,3019,4811,4638,2586,2827,2210,923,4886
7604,3169,2400,1618,376,465,272,3725,2614,1626,2522,418,2251,4133,107,2649,986,37,1471,3156,1220,3427,2536
7605,4827,4045,4344,3213,4367,2348,1611,3670,131,1488,3741,3248,247,4681,3656,384,2370,2314,149,4167,765,4685
7606,1482,124,2681,1888,2542,4168,3287,1717,2889,3750,251,504,1039,4692,4489,3343,4029,4513,3797,923,3547,1194
7607,715,4655,1128,1317,39,1437,2025,3827,2907,415,331,2082,2479,644,2526,877,156,181,3783,2385,2870,2798
7608,2698,4284,1622,2576,110,3268,4868,621,4987,2056,4102,436,3937,4613,1292,2769,2921,1866,984,243,3512,347
7609,2629,3518,4440,4098,427,2676,1328,4297,3954,3440,1460,2175,4148,4043,4193,2218,4003,80,914,3684,2434,3439
7610,4041,2836,3410,4361,2922,1504,2967,3471,589,221,3662,3182,4981,4218,1131,766,259,4446,3697,2251,365,3072
7611,1354,3005,4304,1816,1425,3600,3222,4610,2869,287,3597,1704,4989,3345,1028,1895,2963,1251,534,2365,1964,2847
7612,3153,1390,453,2322,1962,1841,2378,3491,2080,3592,308,4979,4749,1274,4220,3349,4134,307,1228,1176,4105,1015
7613,4608,644,793,2,1285,3812,840,279,1564,3808,227,1476,2868,50,452,990,4934,3371,927,2772,2735,1970
7614,3607,2833,4828,4903,3628,2673,526,3616,2319,939,575,4820,157,4305,920,3356,4456,2947,982,2021,4724,3470
7615,767,2698,3740,3541,3482,2613,2582,2419,2799,375,2511,4947,1443,4060,74,3597,3978,168,847,2025,3642,4114
7616,373,2659,876,4124,4444,2652,344,4343,28,4477,1764,2099,2299,2516,1091,2401,1110,3698,1619,699,4835,2604
7617,3135,122,3810,4852,447,2439,4795,1629,2852,4899,2559,2969,2513,2891,735,4464,1770,4034,2690,739,2771,3573
7618,675,1488,1084,911,3992,1724,4084,1743,1747,4405,3619,2441,3927,4569,3120,1740,1718,2689,2326,3827,1011,2206
7619,478,2763,3311,2790,358,1077,4446,1075,3116,1242,1514,1394,998,3056,4592,2345,536,2260,118,541,3632,892
7620,3873,952,3262,3225,2104,3402,3892,3173,3032,116,3813,2483,4968,2490,2418,20,195,612,801,2655,3477,4477
7621,228,3346,1471,4590,1040,3141,3189,589,3287,1734,2069,2459,2501,510,3007,157,389,1020,169,1171,4204,4380
7622,3672,171,3639,4564,61,3173,2118,923,4572,4324,4923,1156,453,4603,1177,4775,1992,904,1285,2252,1292,4749
7623,2589,287,619,4733,3950,4864,1026,4153,4402,4894,1331,2852,4907,4927,4486,4959,4614,4947,1785,2879,2613,976
7624,2588,345,3066,130,321,1823,3465,1804,187,2930,3955,1826,3103,277,2237,3807,1530,3491,4552,465,525,552
7625,4371,603,4368,2550,3809,4906,4729,4226,3011,1833,1487,2612,3265,1117,1950,3168,3703,1133,1458,1368,3443,241
7626,4423,705,420,4223,3309,2163,2258,1325,4811,1768,1221,4904,708,508,4978,2769,2103,3017,3533,1117,3049,834
7627,4923,4340,2050,2388,1245,411,4828,4929,4357,2664,1836,4334,2565,762,3204,2830,1318,1612,1809,4406,2404,2569
7628,3712,4150,1738,1446,4442,4008,3266,2976,1944,3590,1194,2163,398,3963,2455,1274,1162,1765,2644,2961,3725,66
7629,1130,3383,4667,86,4674,4323,4419,842,3637,4260,2829,402,564,2163,4101,2367,3704,2221,2962,2570,1904,3242
7630,1214,600,1426,4498,3241,653,680,387,2514,2560,493,386,3823,3996,4780,441,3793,733,2197,703,2972,2359
7631,2222,2994,1099,2084,1321,156,2335,2318,437,4984,2814,4878,3073,4210,976,554,449,3600,1018,3057,3819,2934
7632,755,4107,1382,3949,2709,4179,2121,1815,2125,2295,2682,4807,2191,4173,2191,193,4855,1459,3890,4876,2225,192
7633,1101,1424,2445,4212,31,2346,873,2295,1064,4794,421,2563,3646,3083,3552,1995,2897,3856,4661,1911,3122,3314
7634,3505,970,3556,342,2954,4782,268,1172,1193,531,1146,698,1488,1050,2926,1883,1028,904,4265,3872,2519,2111
7635,3076,2217,928,2605,3996,509,3098,1235,2815,4901,2711,2456,2867,1338,2225,2342,4294,1312,4842,4177,2621,1677
7636,3382,1861,231,3313,1151,3144,1015,907,1214,1017,2942,2376,1871,549,120,4887,46,4936,1437,935,320,2086
7637,1116,2089,932,373,1249,2660,2663,37,3310,1219,460,4075,4957,2483,3262,3428,4994,1046,867,3014,2900,3300
7638,1382,4839,4173,1657,79,1564,825,3708,2002,781,1142,22,557,4326,3778,367,4126,2896,1300,1043,666,1951
7639,4487,1003,4689,3047,4918,2141,1805,4319,349,3068,705,1508,981,3057,225,2038,1587,4524,1785,4880,368,4925
7640,3608,4723,3780,2526,879,2120,625,142,4184,2973,4862,2937,4790,2281,1925,3253,1085,4154,4181,2480,950,2711
7641,3648,1026,2970,4893,853,4448,2919,860,3905,1236,2045,126,2246,3561,3996,3727,2718,1975,1618,783,4217,3737
7642,78,2479,4773,761,2433,1211,796,1287,3990,646,234,2253,248,1603,3430,2977,1517,4662,2702,2450,2286,2347
7643,4879,3451,986,4569,1576,2001,1588,1785,3469,718,731,3449,1547,2713,1106,4820,426,3953,2169,1224,2182,3777
7644,1657,2255,1578,4096,458,3214,4678,4346,2183,2998,2710,4482,2699,96,4198,3211,255,1377,2838,1210,4438,3147
7645,235,3089,4908,1295,1909,203,203,4247,1566,2905,544,799,2209,3670,1148,3915,3459,2130,2465,2503,3394,2666
7646,1597,675,1640,1312,3430,1745,3761,4795,48,4608,4553,2582,3214,2636,4480,1045,2820,2150,1054,2011,1248,1647
7647,1985,2373,2339,1616,445,2819,3666,291,978,594,1637,3161,3982,515,1578,1464,3074,1174,1636,793,2168,2406
7648,2874,4265,3643,2325,1648,1402,3398,213,350,1839,2245,3503,2369,2939,2,2293,2115,1507,1399,4254,1300,47
7649,3076,4874,1569,4933,2277,4161,3564,370,609,913,4832,889,2271,758,3859,1775,3990,2215,2851,2202,2652,4532
7650,4154,3362,2100,3407,3889,1092,1004,608,2757,2256,972,4427,3446,252,515,1114,2891,4885,4918,1137,3925,2644
7651,4633,355,1542,2524,3217,4055,4913,2942,1384,2914,4593,2089,1648,2420,4740,2227,3643,2666,2582,615,3224,1671
7652,3467,2774,1807,3598,4650,34,4100,4757,2416,2513,3550,3909,2965,897,2954,2948,3236,134,4853,624,2211,1501
7653,687,105,3141,2952,126,2762,3497,2207,3690,3331,4245,1766,89,1338,980,1251,3625,3884,4026,4804,3905,2210
7654,1366,3173,2083,154,4723,788,2537,259,1036,4563,1213,3228,2654,3944,3339,1730,4498,3495,4094,131,3206,3357
7655,2604,914,2566,4072,2609,3635,2999,3874,438,3678,1620,976,881,1644,3319,1789,4761,1329,4048,2608,1788,2607
7656,176,2319,57,4743,2274,1482,108,3244,1824,3932,1532,1800,4659,4858,3793,3692,2022,4387,3091,307,4388,4890
7657,875,1066,2045,4392,1881,4734,1573,4947,3299,1293,3921,672,1816,3875,1737,1582,3270,1726,1228,3051,3669,4250
7658,1280,1053,3175,676,1901,4861,1253,4583,4024,4463,3476,2953,1272,1119,606,3044,3803,4083,4510,821,2938,1985
7659,2657,2317,1593,3048,2939,4539,1749,1398,299,4843,3984,2218,3530,2129,735,554,1144,1725,345,344,1011,819
7660,104,1566,2780,4494,2339,4654,4759,4850,4363,1163,4414,4228,2008,1430,4705,2741,2764,3216,4551,4003,3955,2467
7661,2586,4476,764,24,3221,3829,3086,4892,791,146,26,19,1974,1438,1105,3144,4852,4396,1957,3540,707,2156
7662,1131,3225,3576,1726,1373,389,724,1626,1137,2815,1458,562,4724,731,3385,482,1863,2797,2583,1012,4530,1477
7663,4608,116,1453,4742,2688,3523,3083,3784,3222,4940,2029,3166,1061,1882,117,2539,4203,3177,3417,1026,4051,4364
7664,1008,4169,2379,4282,2893,1252,3451,3750,2592,4870,1111,4430,3589,3780,2434,156,520,2268,672,4847,1607,935
7665,990,2081,786,3579,1642,3386,3061,1452,1509,4616,831,3999,1606,425,3793,1237,2277,1830,4594,3264,266,2755
7666,3603,2262,1696,3609,1849,2569,1230,207,2911,2382,4205,4671,366,2161,5000,4626,2219,140,2927,4396,2466,3070
7667,2743,4484,1978,1537,90,120,649,2043,487,2924,4436,1108,4710,473,636,207,3159,207,2038,1927,2963,905
7668,2326,4509,4456,4928,4323,4639,1442,205,3917,4914,3936,2302,4860,2228,3077,2227,1112,2739,1097,1912,4757,2598
7669,4632,2183,3403,2104,2491,4492,3423,835,4423,1525,2835,4269,4758,4230,1434,4677,4959,2196,4520,3817,2636,95
7670,2402,2309,639,3262,2941,3840,1350,1882,1323,2513,2244,837,683,1231,728,4303,224,4885,1851,1140,2143,105
7671,4138,334,2142,3478,4065,1470,372,3504,2476,4736,3212,1285,4945,255,2659,113,4254,1135,3716,894,4471,3249
7672,3577,2651,220,4508,3241,904,3566,3742,2046,2853,2213,1344,1068,2733,611,4074,1586,2282,3251,1184,4168,1106
7673,3327,2523,3135,3398,4823,2939,2953,922,3935,4072,1466,4644,4579,4708,3009,3463,3267,174,2811,2,676,2162
7674,2652,3027,4659,3265,1049,3031,3586,4117,1053,3850,3633,3258,1467,3601,110,405,372,2420,2000,55,4340,1968
7675,3029,2094,3283,3081,1577,4161,1366,4441,1543,1210,611,3456,1288,358,4852,3228,2625,2178,2165,3934,46,3875
7676,2071,2215,3609,2101,4994,1853,668,4838,2202,4698,786,4108,843,2905,2292,3116,3607,2233,2513,1452,507,1881
7677,3960,757,756,96,2415,885,390,3423,2587,2646,4428,1038,99,1722,2098,1372,425,2355,1095,341,3693,2327
7678,1955,1503,1646,3494,1534,46,2054,4054,214,120,4820,3620,103,1014,3450,116,51,1859,3647,1697,459,1076
7679,1604,2084,2318,1245,277,650,132,98,77,150,2688,835,2588,1389,3351,2735,3150,1040,2931,3687,767,1756
7680,4600,3711,3103,4135,2789,250,1819,2573,3307,2346,2618,1521,221,32,2510,4279,2347,4520,4904,1063,4430,4381
7681,4322,3947,94,4198,1106,645,2886,2900,260,1427,2521,849,4917,291,2592,2237,511,975,4291,2162,1960,725
7682,4196,3547,361,1080,341,4542,3035,104,3349,436,4343,1943,386,2316,916,685,1963,3064,3593,1340,768,3318
7683,1871,4731,1966,3718,3608,1958,2959,1662,2231,1784,2696,3947,1763,4700,230,2764,447,3248,3379,3936,3292,4389
7684,4012,4056,2976,1451,4203,201,2342,4611,4804,958,1675,3173,3222,729,4448,3597,4293,4028,4758,446,3933,313
7685,1330,4483,3685,4963,300,2816,1560,1345,4770,4032,3837,4498,2147,497,4318,3650,1743,1750,3126,133,3439,169
